"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5454","TC_LOGIN_01 - Login with valid credentials","","Fri Oct 17 20:08:33 WIB 2025","passed","Fri Oct 17 20:08:39 WIB 2025","","User Login Feature","",""
"","8797","TC_CHGPWD_02 - User cannot change password with invalid current password","","Fri Oct 17 20:08:16 WIB 2025","passed","Fri Oct 17 20:08:25 WIB 2025","","User Change Password Functionality","",""
"","2299","TC_LOGIN_03 - Login with empty Username","","Fri Oct 17 20:08:44 WIB 2025","passed","Fri Oct 17 20:08:46 WIB 2025","","User Login Feature","",""
"","10345","TC_CHGPWD_01 - User can change password with valid current password","","Fri Oct 17 20:08:05 WIB 2025","passed","Fri Oct 17 20:08:16 WIB 2025","","User Change Password Functionality","",""
"","8505","TC_LOGOUT_01 - User can log out successfully","","Fri Oct 17 20:08:53 WIB 2025","failed","Fri Oct 17 20:09:02 WIB 2025","","User Logout Functionality","",""
"","2127","TC_LOGIN_05 - Validate ""Required"" error message appears below Username and Password fields","","Fri Oct 17 20:08:49 WIB 2025","passed","Fri Oct 17 20:08:52 WIB 2025","","User Login Feature","",""
"","3056","TC_LOGIN_04 - Login with empty Password","","Fri Oct 17 20:08:46 WIB 2025","passed","Fri Oct 17 20:08:49 WIB 2025","","User Login Feature","",""
"","5541","TC_FORGOTPASS_01 - User can request a password reset","","Fri Oct 17 20:08:26 WIB 2025","passed","Fri Oct 17 20:08:32 WIB 2025","","User Forgot Password Functionality","",""
"","4225","TC_LOGIN_02 - Login with invalid credentials","","Fri Oct 17 20:08:40 WIB 2025","passed","Fri Oct 17 20:08:44 WIB 2025","","User Login Feature","",""
